x,y,z,roll,pitch,yaw,time,iteration,label
1.414213627576827725e-01,0.000000000000000000e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,1.370265090020341969e-01,4.979801177978515625e-02,0.000000000000000000e+00,1.000000000000000000e+00
2.815171182155609131e-01,1.931789144873619080e-02,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,2.740530238853364220e-01,9.986090660095217619e-02,1.000000000000000000e+00,1.000000000000000000e+00
4.167016446590424694e-01,-2.105534076689979939e-05,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,3.882432315089022756e-01,1.498889923095703125e-01,2.000000000000000000e+00,1.000000000000000000e+00
5.456402897834777832e-01,5.271522328257561424e-02,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,4.794343999097301912e-01,1.998319625854492188e-01,3.000000000000000000e+00,1.000000000000000000e+00
6.681640148162841797e-01,-7.849618792533874512e-02,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,5.514249705029120596e-01,2.500228881835937500e-01,4.000000000000000000e+00,1.000000000000000000e+00
7.847040295600891113e-01,-6.816208362579345703e-03,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,6.080622417073808794e-01,2.997498512268066406e-01,5.000000000000000000e+00,1.000000000000000000e+00
7.847040295600891113e-01,-1.717938780784606934e-01,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,6.080622417073808794e-01,3.498718738555908203e-01,6.000000000000000000e+00,1.000000000000000000e+00
1.106256246566772461e+00,7.226246595382684879e-02,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,7.224030143756559053e-01,3.998310565948486328e-01,7.000000000000000000e+00,1.000000000000000000e+00
1.106256246566772461e+00,-1.302006840705877133e-02,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,7.224030143756559053e-01,4.500448703765869141e-01,8.000000000000000000e+00,1.000000000000000000e+00
1.203942775726318359e+00,-1.412826776504527704e-02,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,7.378323295969434481e-01,5.000119209289551891e-01,9.000000000000000000e+00,1.000000000000000000e+00
1.300289392471313477e+00,-1.035782694816589355e-01,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,7.532616679300887519e-01,5.500390529632568359e-01,1.000000000000000000e+01,1.000000000000000000e+00
1.486297130584716797e+00,7.307678461074829102e-02,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,7.761194944397785678e-01,5.998680591583251953e-01,1.100000000000000000e+01,1.000000000000000000e+00
1.486297130584716797e+00,-1.515609025955200195e-02,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,7.761194944397785678e-01,6.500489711761474609e-01,1.200000000000000000e+01,1.000000000000000000e+00
1.664256453514099121e+00,-1.716256141662575452e-02,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,7.882032354482785275e-01,6.998128890991209827e-01,1.300000000000000000e+01,1.000000000000000000e+00
1.664256453514099121e+00,-1.716256141662575452e-02,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,7.882032354482785275e-01,7.499680519104005016e-01,1.400000000000000000e+01,1.000000000000000000e+00
1.664256453514099121e+00,-1.047511100769040748e-01,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,7.882032354482785275e-01,7.998309135437010609e-01,1.500000000000000000e+01,1.000000000000000000e+00
1.836760997772216797e+00,-1.857006549835182874e-02,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,7.958233873662019509e-01,8.498489856719968483e-01,1.600000000000000000e+01,1.000000000000000000e+00
1.922514319419860840e+00,-1.844894886016845703e-02,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,7.996334858430884651e-01,9.000868797302246094e-01,1.700000000000000000e+01,1.000000000000000000e+00
2.088886260986328125e+00,6.626904010772705078e-02,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,8.035084997511340310e-01,9.498219490051266201e-01,1.800000000000000000e+01,1.000000000000000000e+00
