time,iteration,x,y,roll,pitch,yaw
0.000000000000000000e+00,1.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,3.167233230135044902e-03,3.160912974424252755e-03,7.842084430228743507e-04
3.108692169189453125e-02,2.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,3.345679247393905549e-03,3.369898625570890739e-03,8.214045719328116283e-04
3.108692169189453125e-02,3.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,3.345679247393905549e-03,3.369898625570890739e-03,8.214045719328116283e-04
3.360891342163085938e-02,4.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,3.360156396889931504e-03,3.386852728671047637e-03,8.244238215944952545e-04
6.338000297546386719e-02,5.000000000000000000e+00,-1.000000000000000021e-03,0.000000000000000000e+00,5.868818712492856852e-03,9.063632130283813537e-03,6.489145666846883344e-07
6.338000297546386719e-02,6.000000000000000000e+00,-1.000000000000000021e-03,0.000000000000000000e+00,5.868818712492856852e-03,9.063632130283813537e-03,6.489145666846883344e-07
6.338000297546386719e-02,7.000000000000000000e+00,-1.000000000000000021e-03,0.000000000000000000e+00,5.868818712492856852e-03,9.063632130283813537e-03,6.489145666846883344e-07
9.488391876220703125e-02,8.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,8.814117784463395286e-04,-1.623690908320846171e-03,1.534988552561082327e-03
9.488391876220703125e-02,9.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,8.814117784463395286e-04,-1.623690908320846171e-03,1.534988552561082327e-03
9.488391876220703125e-02,1.000000000000000000e+01,-0.000000000000000000e+00,0.000000000000000000e+00,8.814117784463395286e-04,-1.623690908320846171e-03,1.534988552561082327e-03
9.727001190185546875e-02,1.100000000000000000e+01,-0.000000000000000000e+00,0.000000000000000000e+00,4.574188211731237117e-04,-2.532132638938871735e-03,1.668015534001069397e-03
1.289820671081542969e-01,1.200000000000000000e+01,-4.000000000000000083e-03,1.000000000000000021e-03,1.165885061565588099e-03,1.656517818509521331e-02,3.639865779325654731e-04
1.289820671081542969e-01,1.300000000000000000e+01,-4.000000000000000083e-03,1.000000000000000021e-03,1.165885061565588099e-03,1.656517818509521331e-02,3.639865779325654731e-04
1.311590671539306641e-01,1.400000000000000000e+01,-4.000000000000000083e-03,1.000000000000000021e-03,1.213613986076158982e-03,1.787622255216637229e-02,2.749496719651592694e-04
1.628189086914062500e-01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.458961219837702751e-03,1.659873838546190895e-03,-2.947535823489679050e-04
1.628189086914062500e-01,1.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.458961219837702751e-03,1.659873838546190895e-03,-2.947535823489679050e-04
1.628189086914062500e-01,1.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.458961219837702751e-03,1.659873838546190895e-03,-2.947535823489679050e-04
1.943960189819335938e-01,1.800000000000000000e+01,-1.000000000000000021e-03,0.000000000000000000e+00,-7.585866684038697350e-03,5.563401175298874311e-03,-2.039726428257405619e-03
1.943960189819335938e-01,1.900000000000000000e+01,-1.000000000000000021e-03,0.000000000000000000e+00,-7.585866684038697350e-03,5.563401175298874311e-03,-2.039726428257405619e-03
1.943960189819335938e-01,2.000000000000000000e+01,-1.000000000000000021e-03,0.000000000000000000e+00,-7.585866684038697350e-03,5.563401175298874311e-03,-2.039726428257405619e-03
2.268719673156738281e-01,2.100000000000000000e+01,-0.000000000000000000e+00,0.000000000000000000e+00,1.069009694504620151e-03,-1.736869000022065943e-03,-2.052070170942011315e-05
2.268719673156738281e-01,2.200000000000000000e+01,-0.000000000000000000e+00,0.000000000000000000e+00,1.069009694504620151e-03,-1.736869000022065943e-03,-2.052070170942011315e-05
2.268719673156738281e-01,2.300000000000000000e+01,-0.000000000000000000e+00,0.000000000000000000e+00,1.069009694504620151e-03,-1.736869000022065943e-03,-2.052070170942011315e-05
2.291519641876220703e-01,2.400000000000000000e+01,-0.000000000000000000e+00,0.000000000000000000e+00,1.802015699292599648e-03,-2.319270384132638904e-03,1.394531177526521330e-04
2.600378990173339844e-01,2.500000000000000000e+01,0.000000000000000000e+00,-0.000000000000000000e+00,-9.571134683901723469e-04,1.522219476834593731e-03,9.374829384160794426e-04
2.600378990173339844e-01,2.600000000000000000e+01,0.000000000000000000e+00,-0.000000000000000000e+00,-9.571134683901723469e-04,1.522219476834593731e-03,9.374829384160794426e-04
2.621779441833496094e-01,2.700000000000000000e+01,0.000000000000000000e+00,-0.000000000000000000e+00,-1.148176664980575263e-03,1.788472500594856735e-03,9.923847872354645515e-04
2.922780513763427734e-01,2.800000000000000000e+01,0.000000000000000000e+00,-0.000000000000000000e+00,-2.702637431132532807e-03,9.060443524448632798e-04,-1.668672299014344919e-03
2.922780513763427734e-01,2.900000000000000000e+01,0.000000000000000000e+00,-0.000000000000000000e+00,-2.702637431132532807e-03,9.060443524448632798e-04,-1.668672299014344919e-03
2.922780513763427734e-01,3.000000000000000000e+01,0.000000000000000000e+00,-0.000000000000000000e+00,-2.702637431132532807e-03,9.060443524448632798e-04,-1.668672299014344919e-03
3.262701034545898438e-01,3.100000000000000000e+01,-0.000000000000000000e+00,0.000000000000000000e+00,2.664989657307595709e-04,2.263288092817916566e-03,-5.212986970624406552e-04
3.262701034545898438e-01,3.200000000000000000e+01,-0.000000000000000000e+00,0.000000000000000000e+00,2.664989657307595709e-04,2.263288092817916566e-03,-5.212986970624406552e-04
3.262701034545898438e-01,3.300000000000000000e+01,-0.000000000000000000e+00,0.000000000000000000e+00,2.664989657307595709e-04,2.263288092817916566e-03,-5.212986970624406552e-04
3.574509620666503906e-01,3.400000000000000000e+01,3.000000000000000062e-03,-0.000000000000000000e+00,6.088727056376002332e-03,-1.494727168288574777e-02,3.554517978089894760e-03
3.574509620666503906e-01,3.500000000000000000e+01,3.000000000000000062e-03,-0.000000000000000000e+00,6.088727056376002332e-03,-1.494727168288574777e-02,3.554517978089894760e-03
3.574509620666503906e-01,3.600000000000000000e+01,3.000000000000000062e-03,-0.000000000000000000e+00,6.088727056376002332e-03,-1.494727168288574777e-02,3.554517978089894760e-03
3.885049819946289062e-01,3.700000000000000000e+01,-1.000000000000000021e-03,1.000000000000000021e-03,-1.132360359614062277e-03,7.107342699987817709e-03,3.481731649369368235e-03
3.885049819946289062e-01,3.800000000000000000e+01,-1.000000000000000021e-03,1.000000000000000021e-03,-1.132360359614062277e-03,7.107342699987817709e-03,3.481731649369368235e-03
3.885049819946289062e-01,3.900000000000000000e+01,-1.000000000000000021e-03,1.000000000000000021e-03,-1.132360359614062277e-03,7.107342699987817709e-03,3.481731649369368235e-03
3.906428813934326172e-01,4.000000000000000000e+01,-1.000000000000000021e-03,1.000000000000000021e-03,-1.696355958036001310e-03,8.830330284316048953e-03,3.448049092938614175e-03
4.196569919586181641e-01,4.100000000000000000e+01,4.000000000000000083e-03,1.000000000000000021e-03,-7.343262657036115325e-03,-1.604700654258525098e-03,2.984940189090051071e-03
4.196569919586181641e-01,4.200000000000000000e+01,4.000000000000000083e-03,1.000000000000000021e-03,-7.343262657036115325e-03,-1.604700654258525098e-03,2.984940189090051071e-03
4.217700958251953125e-01,4.300000000000000000e+01,4.000000000000000083e-03,0.000000000000000000e+00,-7.754340150442256933e-03,-2.364785888362272090e-03,2.953513973014427335e-03
4.505798816680908203e-01,4.400000000000000000e+01,8.999999999999999320e-03,1.000000000000000021e-03,2.422585622396371957e-03,6.720005175403474980e-03,9.882148264904693988e-03
4.505798816680908203e-01,4.500000000000000000e+01,8.999999999999999320e-03,1.000000000000000021e-03,2.422585622396371957e-03,6.720005175403474980e-03,9.882148264904693988e-03
4.527111053466796875e-01,4.600000000000000000e+01,1.000000000000000021e-02,1.000000000000000021e-03,3.177947956319302370e-03,7.389247098329197044e-03,1.039838001862257097e-02
4.821128845214843750e-01,4.700000000000000000e+01,2.299999999999999961e-02,1.000000000000000021e-03,2.128396828405536637e-02,-2.169608970143388493e-02,1.415845163343580453e-02
4.821128845214843750e-01,4.800000000000000000e+01,2.299999999999999961e-02,1.000000000000000021e-03,2.128396828405536637e-02,-2.169608970143388493e-02,1.415845163343580453e-02
4.842560291290283203e-01,4.900000000000000000e+01,2.400000000000000050e-02,1.000000000000000021e-03,2.259984274917646238e-02,-2.381875565058899635e-02,1.441200059255039363e-02
5.137929916381835938e-01,5.000000000000000000e+01,3.300000000000000155e-02,1.000000000000000021e-03,1.427231821311255276e-02,-1.507621224579895093e-02,1.411574310859093837e-02
5.137929916381835938e-01,5.100000000000000000e+01,3.300000000000000155e-02,1.000000000000000021e-03,1.427231821311255276e-02,-1.507621224579895093e-02,1.411574310859093837e-02
5.137929916381835938e-01,5.200000000000000000e+01,3.300000000000000155e-02,1.000000000000000021e-03,1.427231821311255276e-02,-1.507621224579895093e-02,1.411574310859093837e-02
5.452969074249267578e-01,5.300000000000000000e+01,4.700000000000000011e-02,1.000000000000000021e-03,3.384252771859138503e-02,-3.434960714904059659e-02,2.512574458014312992e-02
5.452969074249267578e-01,5.400000000000000000e+01,4.700000000000000011e-02,1.000000000000000021e-03,3.384252771859138503e-02,-3.434960714904059659e-02,2.512574458014312992e-02
5.452969074249267578e-01,5.500000000000000000e+01,4.700000000000000011e-02,1.000000000000000021e-03,3.384252771859138503e-02,-3.434960714904059659e-02,2.512574458014312992e-02
5.765819549560546875e-01,5.600000000000000000e+01,5.800000000000000294e-02,2.000000000000000042e-03,1.551526040881159862e-02,-1.948446686261504773e-02,2.141482892116310446e-02
5.765819549560546875e-01,5.700000000000000000e+01,5.800000000000000294e-02,2.000000000000000042e-03,1.551526040881159862e-02,-1.948446686261504773e-02,2.141482892116310446e-02
5.765819549560546875e-01,5.800000000000000000e+01,5.800000000000000294e-02,2.000000000000000042e-03,1.551526040881159862e-02,-1.948446686261504773e-02,2.141482892116310446e-02
6.076769828796386719e-01,5.900000000000000000e+01,7.599999999999999811e-02,3.000000000000000062e-03,1.175139488387541217e-02,-1.162985739427275372e-02,2.124135407018838337e-02
6.076769828796386719e-01,6.000000000000000000e+01,7.599999999999999811e-02,3.000000000000000062e-03,1.175139488387541217e-02,-1.162985739427275372e-02,2.124135407018838337e-02
6.076769828796386719e-01,6.100000000000000000e+01,7.599999999999999811e-02,3.000000000000000062e-03,1.175139488387541217e-02,-1.162985739427275372e-02,2.124135407018838337e-02
6.097650527954101562e-01,6.200000000000000000e+01,7.699999999999999900e-02,3.000000000000000062e-03,1.158624562860125461e-02,-1.115115062559493379e-02,2.125362847914165007e-02
6.391830444335937500e-01,6.300000000000000000e+01,9.299999999999999933e-02,4.000000000000000083e-03,1.634455006984202735e-02,-1.927486370790975831e-02,2.665167686582205556e-02
6.391830444335937500e-01,6.400000000000000000e+01,9.299999999999999933e-02,4.000000000000000083e-03,1.634455006984202735e-02,-1.927486370790975831e-02,2.665167686582205556e-02
6.391830444335937500e-01,6.500000000000000000e+01,9.299999999999999933e-02,4.000000000000000083e-03,1.634455006984202735e-02,-1.927486370790975831e-02,2.665167686582205556e-02
6.699290275573730469e-01,6.600000000000000000e+01,1.059999999999999970e-01,3.000000000000000062e-03,2.258056401471288457e-02,-3.062387908541060536e-02,2.799158030853283324e-02
6.699290275573730469e-01,6.700000000000000000e+01,1.059999999999999970e-01,3.000000000000000062e-03,2.258056401471288457e-02,-3.062387908541060536e-02,2.799158030853283324e-02
6.719069480895996094e-01,6.800000000000000000e+01,1.069999999999999979e-01,3.000000000000000062e-03,2.298712457892209543e-02,-3.136680325286372861e-02,2.805644476044803770e-02
6.719069480895996094e-01,6.900000000000000000e+01,1.069999999999999979e-01,3.000000000000000062e-03,2.298712457892209543e-02,-3.136680325286372861e-02,2.805644476044803770e-02
6.719069480895996094e-01,7.000000000000000000e+01,1.069999999999999979e-01,3.000000000000000062e-03,2.298712457892209543e-02,-3.136680325286372861e-02,2.805644476044803770e-02
7.012279033660888672e-01,7.100000000000000000e+01,1.300000000000000044e-01,2.000000000000000042e-03,1.142917588327849177e-02,-4.712243283930789284e-02,2.976996724285466134e-02
7.333118915557861328e-01,7.200000000000000000e+01,1.489999999999999936e-01,4.000000000000000083e-03,5.704562617488546233e-03,-4.917159708333720958e-02,2.947398293028229144e-02
7.333118915557861328e-01,7.300000000000000000e+01,1.489999999999999936e-01,4.000000000000000083e-03,5.704562617488546233e-03,-4.917159708333720958e-02,2.947398293028229144e-02
7.333118915557861328e-01,7.400000000000000000e+01,1.489999999999999936e-01,4.000000000000000083e-03,5.704562617488546233e-03,-4.917159708333720958e-02,2.947398293028229144e-02
7.352640628814697266e-01,7.500000000000000000e+01,1.499999999999999944e-01,4.000000000000000083e-03,5.392666594943992461e-03,-4.921674490074760128e-02,2.944412823959721356e-02
7.352640628814697266e-01,7.600000000000000000e+01,1.499999999999999944e-01,4.000000000000000083e-03,5.392666594943992461e-03,-4.921674490074760128e-02,2.944412823959721356e-02
7.641820907592773438e-01,7.700000000000000000e+01,1.710000000000000131e-01,4.000000000000000083e-03,1.149244908687477480e-02,-4.657404942820670551e-02,3.586014435762480829e-02
7.973020076751708984e-01,7.800000000000000000e+01,1.859999999999999987e-01,6.000000000000000125e-03,7.180341527718481134e-04,-3.200786439837291497e-02,3.090950985203614818e-02
7.973020076751708984e-01,7.900000000000000000e+01,1.859999999999999987e-01,6.000000000000000125e-03,7.180341527718481134e-04,-3.200786439837291497e-02,3.090950985203614818e-02
7.973020076751708984e-01,8.000000000000000000e+01,1.859999999999999987e-01,6.000000000000000125e-03,7.180341527718481134e-04,-3.200786439837291497e-02,3.090950985203614818e-02
7.992899417877197266e-01,8.100000000000000000e+01,1.869999999999999996e-01,7.000000000000000146e-03,-1.024967225023070151e-05,-3.108423218137061975e-02,3.055213607193034073e-02
8.286468982696533203e-01,8.200000000000000000e+01,2.109999999999999931e-01,7.000000000000000146e-03,-1.401423112202816734e-02,-4.132141204844023280e-02,3.137991206841619918e-02
8.286468982696533203e-01,8.300000000000000000e+01,2.109999999999999931e-01,7.000000000000000146e-03,-1.401423112202816734e-02,-4.132141204844023280e-02,3.137991206841619918e-02
