%mean1,%mean2,%mean3,%var1,%var2,%var3,%label
-1.808699039392581628e-02,7.905128957214000440e-01,1.995266003104526065e-02,6.665715243154061130e-03,1.600695861340120651e-01,6.922035196279619287e-03,0.000000000000000000e+00
9.434876400167077626e-02,4.806453367593029324e-01,-9.564052455559848842e-02,6.565723246902073484e-02,1.587144749777111286e-01,6.539664948916878995e-02,1.000000000000000000e+00
-7.121236272873669726e-02,8.370784819409304855e-01,7.721211923341686489e-02,1.645815341558080208e-02,5.727729848738462998e-02,1.673387749400880725e-02,2.000000000000000000e+00
