time,iteration,x,y,roll,pitch,yaw
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.995844169943170624e-04,-3.213750575975770360e-04,5.506399263377172648e-04
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.995844169943170624e-04,-3.213750575975770360e-04,5.506399263377172648e-04
0.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.995844169943170624e-04,-3.213750575975770360e-04,5.506399263377172648e-04
2.457141876220703125e-03,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.001181957231661975e-04,-3.236319963193833374e-04,5.504896096044292536e-04
3.190207481384277344e-02,5.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,3.233046065978370173e-03,9.345073529929847798e-04,-8.621882536767860178e-04
3.406500816345214844e-02,6.000000000000000000e+00,-1.000000000000000021e-03,0.000000000000000000e+00,3.419037038756899370e-03,1.027067344279007210e-03,-9.658335099555466832e-04
6.347393989562988281e-02,7.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,9.208519960122825074e-04,1.542329182756691235e-04,4.736049130791841755e-04
6.347393989562988281e-02,8.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,9.208519960122825074e-04,1.542329182756691235e-04,4.736049130791841755e-04
6.347393989562988281e-02,9.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,9.208519960122825074e-04,1.542329182756691235e-04,4.736049130791841755e-04
6.568408012390136719e-02,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.330577031197714564e-04,8.878300077619375927e-05,5.818695961298850881e-04
9.505891799926757812e-02,1.100000000000000000e+01,0.000000000000000000e+00,-0.000000000000000000e+00,-3.261924616368058185e-04,-7.172092346724586679e-05,-1.093678641329739153e-03
9.505891799926757812e-02,1.200000000000000000e+01,0.000000000000000000e+00,-0.000000000000000000e+00,-3.261924616368058185e-04,-7.172092346724586679e-05,-1.093678641329739153e-03
9.724593162536621094e-02,1.300000000000000000e+01,0.000000000000000000e+00,-0.000000000000000000e+00,-4.050449239906192263e-04,-8.374173753326760944e-05,-1.218419662678935913e-03
1.267130374908447266e-01,1.400000000000000000e+01,0.000000000000000000e+00,-0.000000000000000000e+00,6.122890923465183636e-04,-2.782890557729884189e-04,4.221974369106730289e-04
1.267130374908447266e-01,1.500000000000000000e+01,0.000000000000000000e+00,-0.000000000000000000e+00,6.122890923465183636e-04,-2.782890557729884189e-04,4.221974369106730289e-04
1.290531158447265625e-01,1.600000000000000000e+01,-0.000000000000000000e+00,-0.000000000000000000e+00,6.930652071514227302e-04,-2.938102228855277230e-04,5.524757030412835810e-04
1.594920158386230469e-01,1.700000000000000000e+01,0.000000000000000000e+00,-0.000000000000000000e+00,4.447725440940972674e-04,-3.408109402741040590e-04,6.155420798524511043e-04
1.594920158386230469e-01,1.800000000000000000e+01,0.000000000000000000e+00,-0.000000000000000000e+00,4.447725440940972674e-04,-3.408109402741040590e-04,6.155420798524511043e-04
1.594920158386230469e-01,1.900000000000000000e+01,0.000000000000000000e+00,-0.000000000000000000e+00,4.447725440940972674e-04,-3.408109402741040590e-04,6.155420798524511043e-04
1.617109775543212891e-01,2.000000000000000000e+01,0.000000000000000000e+00,-0.000000000000000000e+00,4.266721686842808010e-04,-3.442366279761119633e-04,6.201400050517094122e-04
1.617109775543212891e-01,2.100000000000000000e+01,0.000000000000000000e+00,-0.000000000000000000e+00,4.266721686842808010e-04,-3.442366279761119633e-04,6.201400050517094122e-04
1.617109775543212891e-01,2.200000000000000000e+01,0.000000000000000000e+00,-0.000000000000000000e+00,4.266721686842808010e-04,-3.442366279761119633e-04,6.201400050517094122e-04
1.617109775543212891e-01,2.300000000000000000e+01,0.000000000000000000e+00,-0.000000000000000000e+00,4.266721686842808010e-04,-3.442366279761119633e-04,6.201400050517094122e-04
1.617109775543212891e-01,2.400000000000000000e+01,0.000000000000000000e+00,-0.000000000000000000e+00,4.266721686842808010e-04,-3.442366279761119633e-04,6.201400050517094122e-04
1.911320686340332031e-01,2.500000000000000000e+01,-0.000000000000000000e+00,0.000000000000000000e+00,6.748551982842179589e-04,2.334770113684118552e-04,6.184678448322277616e-04
2.539989948272705078e-01,2.600000000000000000e+01,1.000000000000000021e-03,0.000000000000000000e+00,-1.263874427167170677e-03,3.015896692659924758e-03,7.958130572963502056e-03
2.539989948272705078e-01,2.700000000000000000e+01,1.000000000000000021e-03,0.000000000000000000e+00,-1.263874427167170677e-03,3.015896692659924758e-03,7.958130572963502056e-03
2.539989948272705078e-01,2.800000000000000000e+01,1.000000000000000021e-03,0.000000000000000000e+00,-1.263874427167170677e-03,3.015896692659924758e-03,7.958130572963502056e-03
2.560250759124755859e-01,2.900000000000000000e+01,1.000000000000000021e-03,0.000000000000000000e+00,-1.382999196936294086e-03,3.221502697514282663e-03,8.466421945613391425e-03
2.855589389801025391e-01,3.000000000000000000e+01,3.000000000000000062e-03,2.000000000000000042e-03,1.829898721701456133e-03,1.588323249281308695e-03,8.219147117647275166e-03
2.855589389801025391e-01,3.100000000000000000e+01,3.000000000000000062e-03,2.000000000000000042e-03,1.829898721701456133e-03,1.588323249281308695e-03,8.219147117647275166e-03
2.878260612487792969e-01,3.200000000000000000e+01,4.000000000000000083e-03,2.000000000000000042e-03,2.076548238986582369e-03,1.462987685474176781e-03,8.199948633741701784e-03
2.878260612487792969e-01,3.300000000000000000e+01,4.000000000000000083e-03,2.000000000000000042e-03,2.076548238986582369e-03,1.462987685474176781e-03,8.199948633741701784e-03
2.878260612487792969e-01,3.400000000000000000e+01,4.000000000000000083e-03,2.000000000000000042e-03,2.076548238986582369e-03,1.462987685474176781e-03,8.199948633741701784e-03
2.878260612487792969e-01,3.500000000000000000e+01,4.000000000000000083e-03,2.000000000000000042e-03,2.076548238986582369e-03,1.462987685474176781e-03,8.199948633741701784e-03
3.195860385894775391e-01,3.600000000000000000e+01,4.000000000000000083e-03,4.000000000000000083e-03,-7.466411088326276035e-03,3.816612644727238653e-03,1.243808643990686018e-02
3.497531414031982422e-01,3.700000000000000000e+01,1.099999999999999936e-02,5.000000000000000104e-03,-8.288936359685424027e-03,-6.608027664451298494e-03,1.208497455290290061e-02
3.497531414031982422e-01,3.800000000000000000e+01,1.099999999999999936e-02,5.000000000000000104e-03,-8.288936359685424027e-03,-6.608027664451298494e-03,1.208497455290290061e-02
3.517789840698242188e-01,3.900000000000000000e+01,1.099999999999999936e-02,5.000000000000000104e-03,-8.344041997194228191e-03,-7.308094805367281767e-03,1.206156820742740159e-02
3.823170661926269531e-01,4.000000000000000000e+01,1.899999999999999953e-02,5.000000000000000104e-03,-7.979456136531979521e-03,-1.434859534398269520e-02,1.078017409537418599e-02
3.823170661926269531e-01,4.100000000000000000e+01,1.899999999999999953e-02,5.000000000000000104e-03,-7.979456136531979521e-03,-1.434859534398269520e-02,1.078017409537418599e-02
4.142889976501464844e-01,4.200000000000000000e+01,2.500000000000000139e-02,8.000000000000000167e-03,-1.146519025124866954e-02,-1.890989553683557894e-02,8.487257321431698753e-03
4.142889976501464844e-01,4.300000000000000000e+01,2.500000000000000139e-02,8.000000000000000167e-03,-1.146519025124866954e-02,-1.890989553683557894e-02,8.487257321431698753e-03
4.142889976501464844e-01,4.400000000000000000e+01,2.500000000000000139e-02,8.000000000000000167e-03,-1.146519025124866954e-02,-1.890989553683557894e-02,8.487257321431698753e-03
4.164869785308837891e-01,4.500000000000000000e+01,2.500000000000000139e-02,8.000000000000000167e-03,-1.172448125506188668e-02,-1.920926863984778396e-02,8.325278162840243218e-03
4.164869785308837891e-01,4.600000000000000000e+01,2.500000000000000139e-02,8.000000000000000167e-03,-1.172448125506188668e-02,-1.920926863984778396e-02,8.325278162840243218e-03
4.164869785308837891e-01,4.700000000000000000e+01,2.500000000000000139e-02,8.000000000000000167e-03,-1.172448125506188668e-02,-1.920926863984778396e-02,8.325278162840243218e-03
4.164869785308837891e-01,4.800000000000000000e+01,2.500000000000000139e-02,8.000000000000000167e-03,-1.172448125506188668e-02,-1.920926863984778396e-02,8.325278162840243218e-03
4.164869785308837891e-01,4.900000000000000000e+01,2.500000000000000139e-02,8.000000000000000167e-03,-1.172448125506188668e-02,-1.920926863984778396e-02,8.325278162840243218e-03
4.790990352630615234e-01,5.000000000000000000e+01,4.299999999999999656e-02,1.299999999999999940e-02,-2.493418815595534969e-03,-3.894455372432641810e-02,4.716594899231347539e-03
4.812531471252441406e-01,5.100000000000000000e+01,4.299999999999999656e-02,1.299999999999999940e-02,-2.075677519457838887e-03,-3.983566531196178900e-02,4.548766967453848030e-03
4.812531471252441406e-01,5.200000000000000000e+01,4.299999999999999656e-02,1.299999999999999940e-02,-2.075677519457838887e-03,-3.983566531196178900e-02,4.548766967453848030e-03
4.812531471252441406e-01,5.300000000000000000e+01,4.299999999999999656e-02,1.299999999999999940e-02,-2.075677519457838887e-03,-3.983566531196178900e-02,4.548766967453848030e-03
4.812531471252441406e-01,5.400000000000000000e+01,4.299999999999999656e-02,1.299999999999999940e-02,-2.075677519457838887e-03,-3.983566531196178900e-02,4.548766967453848030e-03
5.123951435089111328e-01,5.500000000000000000e+01,5.099999999999999672e-02,1.700000000000000122e-02,-4.475390208489439352e-03,-5.168324540270265166e-02,5.973365773182350187e-03
5.448849201202392578e-01,5.600000000000000000e+01,6.199999999999999956e-02,2.000000000000000042e-02,-1.148779085929989112e-02,-6.540591779949379847e-02,5.606232857171918570e-03
