%x,%y,%theta,%velocity,%steering,%label
-1.010269986670942442e-02,1.030026158304447881e-02,-1.185678936690004459e-02,4.808708411319680964e-01,-1.818420624647392250e-03,0.000000000000000000e+00
-9.704224433512393527e-03,9.895347446205571273e-03,-1.246754718729325973e-02,4.568336711382091631e-01,-2.540174764147123693e-03,0.000000000000000000e+00
-9.824969506600092842e-03,1.002260028085577223e-02,-1.302422187502882966e-02,4.339945804693071674e-01,-2.437080692499849887e-03,0.000000000000000000e+00
-8.567405972318609467e-03,8.735837118864766757e-03,-1.361194373671537061e-02,4.122991253218569740e-01,-2.708394799333305961e-03,0.000000000000000000e+00
-8.234584916959294607e-03,8.407113235230719364e-03,-9.014459747128000799e-03,1.000000000000000000e+00,8.734997412811175421e-03,0.000000000000000000e+00
-6.602525112451421152e-03,6.751159137404250804e-03,-7.254887998933368110e-03,1.000000000000000000e+00,3.343173866172761185e-03,0.000000000000000000e+00
-1.003946865987116049e-02,1.023621835350265255e-02,-5.989375896323978488e-03,9.986999484161154239e-01,2.407598351139596943e-03,0.000000000000000000e+00
-8.113213743148857751e-03,8.283209766640193747e-03,-6.551390078323837685e-03,9.487622757229523529e-01,-1.125494259455632647e-03,0.000000000000000000e+00
-9.214944791835367327e-03,9.396383669309350470e-03,-6.779899473995487647e-03,9.013279237797370280e-01,-4.816979555842536048e-04,0.000000000000000000e+00
-8.778939031203449039e-03,8.951780150633541558e-03,-7.182024510048901078e-03,8.562669991694510374e-01,-8.922886978854737815e-04,0.000000000000000000e+00
-8.421142433459611470e-03,8.586618422116314847e-03,-7.507408459363706932e-03,8.134581566743889214e-01,-7.600014574755122824e-04,0.000000000000000000e+00
-9.525258775264775976e-03,9.705627677338665715e-03,-7.782184027606886545e-03,7.727895693456690029e-01,-6.755700658335528136e-04,0.000000000000000000e+00
-9.296120027620974682e-03,9.471587591922753929e-03,-8.232483850878824505e-03,7.341555197850495595e-01,-1.165378797599442989e-03,0.000000000000000000e+00
-1.030463965870530990e-02,1.049600859342967110e-02,-8.641479671042451294e-03,6.974518977322464730e-01,-1.114186855428637513e-03,0.000000000000000000e+00
-1.078932929191727709e-02,1.098902969046791286e-02,-9.202325661730736961e-03,6.625854652063185579e-01,-1.608255115059071486e-03,0.000000000000000000e+00
-1.022474998240873248e-02,1.041463229443293122e-02,-9.824453551132705797e-03,6.294620101791911226e-01,-1.877860111194548003e-03,0.000000000000000000e+00
-1.067807289421293659e-02,1.087806352620052791e-02,-1.034962162033226107e-02,5.979920142687280560e-01,-1.668614933982743480e-03,0.000000000000000000e+00
-9.953194051030315667e-03,1.013983898454233479e-02,-1.094399609965268638e-02,5.680978614719724984e-01,-1.987879377382489529e-03,0.000000000000000000e+00
-1.067254120222425537e-02,1.087723424543654213e-02,-1.142777809070494310e-02,5.396953521038528878e-01,-1.703155105271550408e-03,0.000000000000000000e+00
-9.595447685882250305e-03,9.778101899684487480e-03,-1.203111498875031327e-02,5.127165329198755117e-01,-2.235812817711734044e-03,0.000000000000000000e+00
-8.747430189787453597e-03,8.912420677533002683e-03,-1.247591046526153047e-02,4.870818300821776470e-01,-1.735048415148977580e-03,0.000000000000000000e+00
-9.613536221071633872e-03,9.803520137517455352e-03,-1.281053586892744178e-02,4.627296344149539054e-01,-1.373994271354614686e-03,0.000000000000000000e+00
-1.077689260449596689e-02,1.100066237434020426e-02,-1.330386931712979059e-02,4.395981742471721798e-01,-2.132247552362629469e-03,0.000000000000000000e+00
-9.880327901632138254e-03,1.008456343042717605e-02,-1.399279603831160568e-02,4.176264785906340093e-01,-3.134275605292124751e-03,0.000000000000000000e+00
-8.191847095123806766e-03,8.362198401679482584e-03,-9.676261809805963843e-03,1.000000000000000000e+00,8.201231157085176263e-03,0.000000000000000000e+00
-9.397236090430371308e-03,9.597828980780553215e-03,-7.452556728176684686e-03,1.000000000000000000e+00,4.225014515026730491e-03,0.000000000000000000e+00
-8.082678208829269240e-03,8.267486871527080644e-03,-7.319577621026862602e-03,1.000000000000000000e+00,2.526602982085829731e-04,0.000000000000000000e+00
-9.132487411915328132e-03,9.329658427702485629e-03,-6.874458112461012682e-03,9.537527790792560412e-01,8.867359164355921673e-04,0.000000000000000000e+00
-9.273689888379383836e-03,9.469361573635440288e-03,-7.177683734811868277e-03,9.060691678980239416e-01,-6.358549934527327717e-04,0.000000000000000000e+00
