x_error,y_error,theta_error,distance_error
5.288266143710308037e-02,5.288266143710308037e-02,0.000000000000000000e+00,7.478737701873584831e-02
4.969242422313011054e-02,4.969242422313011054e-02,0.000000000000000000e+00,7.027570028354791776e-02
4.664880749253470099e-02,4.664880749253470099e-02,0.000000000000000000e+00,6.597137622447422911e-02
4.374507269745846888e-02,4.374507269745846888e-02,0.000000000000000000e+00,6.186487509574276067e-02
4.097479098774826911e-02,4.097479098774826911e-02,0.000000000000000000e+00,5.794710513027646892e-02
3.833182897752330370e-02,3.833182897752330370e-02,0.000000000000000000e+00,5.420939241057946140e-02
3.581033516589823829e-02,3.581033516589823829e-02,0.000000000000000000e+00,5.064346166473946559e-02
3.340472698179787481e-02,3.340472698179787481e-02,0.000000000000000000e+00,4.724141794502902114e-02
3.110967842418073392e-02,3.110967842418073392e-02,0.000000000000000000e+00,4.399572914854205097e-02
2.892010827030701281e-02,2.892010827030701281e-02,0.000000000000000000e+00,4.089920934116648976e-02
2.683116882594413499e-02,2.683116882594413499e-02,0.000000000000000000e+00,3.794500284797239220e-02
2.483823519260289214e-02,2.483823519260289214e-02,0.000000000000000000e+00,3.512656907479171781e-02
2.293689502804197033e-02,2.293689502804197033e-02,0.000000000000000000e+00,3.243766802738496519e-02
2.112293877737059233e-02,2.112293877737059233e-02,0.000000000000000000e+00,2.987234649613405499e-02
1.939235035312110444e-02,1.939235035312110444e-02,0.000000000000000000e+00,2.742492487567454659e-02
1.774129824365712482e-02,1.774129824365712482e-02,0.000000000000000000e+00,2.508998459028587494e-02
1.616612703023148634e-02,1.616612703023148634e-02,0.000000000000000000e+00,2.286235609719965145e-02
6.466334929391259756e-02,6.466334929391259756e-02,0.000000000000000000e+00,9.144778555991989188e-02
6.092651140895766204e-02,6.092651140895766204e-02,0.000000000000000000e+00,8.616309874262703672e-02
5.736658649274946342e-02,5.736658649274946342e-02,0.000000000000000000e+00,8.112860464509549785e-02
5.397027204527664324e-02,5.397027204527664324e-02,0.000000000000000000e+00,7.632549069139574205e-02
5.073004920879310709e-02,5.073004920879310709e-02,0.000000000000000000e+00,7.174312361092971546e-02
4.763874415072907875e-02,4.763874415072907875e-02,0.000000000000000000e+00,6.737135807238302243e-02
4.468951274157603737e-02,4.468951274157603737e-02,0.000000000000000000e+00,6.320051501498206992e-02
4.187582540197000436e-02,4.187582540197000436e-02,0.000000000000000000e+00,5.922136021903374320e-02
3.919145264624487868e-02,3.919145264624487868e-02,0.000000000000000000e+00,5.542508386142243337e-02
3.663045129039121939e-02,3.663045129039121939e-02,0.000000000000000000e+00,5.180328101071830088e-02
3.418715129388510965e-02,3.418715129388512353e-02,2.220446049250313081e-16,4.834793301871323501e-02
3.185614320625493323e-02,3.185614320625494711e-02,2.220446049250313081e-16,4.505138976718527088e-02
2.963226619059280975e-02,2.963226619059282363e-02,2.220446049250313081e-16,4.190635273058609250e-02
2.751059659749488517e-02,2.751059659749489905e-02,3.330669073875469621e-16,3.890585881715240280e-02
2.548643706413324106e-02,2.548643706413325494e-02,2.220446049250313081e-16,3.604326495266556990e-02
2.355530611432482546e-02,2.355530611432485322e-02,5.551115123125782702e-16,3.331223337272807422e-02
2.171292823657203219e-02,2.171292823657205995e-02,4.440892098500626162e-16,3.070671759099391843e-02
1.995522441810768099e-02,1.995522441810770875e-02,4.440892098500626162e-16,2.822094901228665645e-02
1.827830311398709329e-02,1.827830311398712104e-02,3.330669073875469621e-16,2.584942416096694048e-02
1.667845163123257701e-02,1.667845163123260477e-02,4.440892098500626162e-16,2.358689249627280229e-02
6.515212790895502648e-02,6.515212790895502648e-02,-5.551115123125782702e-16,9.213902290631083292e-02
6.139282619075026037e-02,6.139282619075026037e-02,-3.330669073875469621e-16,8.682256743137317656e-02
5.781146985921875592e-02,5.781146985921875592e-02,-2.220446049250313081e-16,8.175776473563056701e-02
5.439470896533352140e-02,5.439470896533352140e-02,-1.110223024625156540e-16,7.692573514011205593e-02
5.113497938304767398e-02,5.113497938304767398e-02,-1.110223024625156540e-16,7.231578135517462147e-02
4.802506409198176174e-02,4.802506409198176174e-02,-1.110223024625156540e-16,6.791769697271773931e-02
4.505807775969111750e-02,4.505807775969111750e-02,-1.110223024625156540e-16,6.372174466221669498e-02
4.222745149752615834e-02,4.222745149752615834e-02,-1.110223024625156540e-16,5.971863461225355302e-02
3.952691831715524073e-02,3.952691831715524073e-02,-1.110223024625156540e-16,5.589950396293445756e-02
3.695049925549273584e-02,3.695049925549273584e-02,-1.110223024625156540e-16,5.225589718357477598e-02
3.449249013731328639e-02,3.449249013731328639e-02,-1.110223024625156540e-16,4.877974735220867025e-02
3.214744894624449456e-02,3.214744894624449456e-02,-1.110223024625156540e-16,4.546335829547562546e-02
2.991018377617779556e-02,2.991018377617776780e-02,-5.551115123125782702e-16,4.229938754934232936e-02
2.777574133642160548e-02,2.777574133642157772e-02,-4.440892098500626162e-16,3.928083010293441368e-02
2.573939598514768390e-02,2.573939598514765614e-02,-4.440892098500626162e-16,3.640100288948742990e-02
2.379663926685054998e-02,2.379663926685052222e-02,-3.330669073875469621e-16,3.365352999008017210e-02
2.194316993065592580e-02,2.194316993065589805e-02,-2.220446049250313081e-16,3.103232851739107928e-02
2.017488440737905120e-02,2.017488440737902344e-02,-3.330669073875469621e-16,2.853159514822491832e-02
1.848786772424884650e-02,1.848786772424881875e-02,-3.330669073875469621e-16,2.614579327499250844e-02
1.687838483718342997e-02,1.687838483718340221e-02,-4.440892098500626162e-16,2.386964074769718988e-02
6.534287236142655164e-02,6.534287236142652389e-02,2.220446049250313081e-16,9.240877629794348735e-02
6.157480419673294625e-02,6.157480419673291849e-02,1.110223024625156540e-16,8.707992319548749083e-02
5.798508431684698539e-02,5.798508431684695763e-02,1.110223024625156540e-16,8.200329265623244879e-02
5.456034425589942338e-02,5.456034425589939563e-02,1.110223024625156540e-16,7.715997881443793782e-02
5.129300222201882420e-02,5.129300222201879644e-02,1.110223024625156540e-16,7.253925939721229954e-02
4.817582434090689203e-02,4.817582434090686427e-02,1.110223024625156540e-16,6.813090416141437400e-02
4.520190920079131258e-02,4.520190920079128483e-02,1.110223024625156540e-16,6.392515303691624629e-02
4.236467257268661246e-02,4.236467257268658471e-02,0.000000000000000000e+00,5.991269451778886979e-02
3.965783283295343242e-02,3.965783283295340467e-02,0.000000000000000000e+00,5.608464504668774636e-02
3.707539705582432732e-02,3.707539705582429956e-02,0.000000000000000000e+00,5.243252934671426002e-02
3.461164774510458453e-02,3.461164774510455677e-02,0.000000000000000000e+00,4.894826165720703864e-02
3.226113017567247554e-02,3.226113017567244778e-02,-1.110223024625156540e-16,4.562412783191990839e-02
3.001864031675294253e-02,3.001864031675291478e-02,-1.110223024625156540e-16,4.245276825995177722e-02
2.787921331022694127e-02,2.787921331022691351e-02,-1.110223024625156540e-16,3.942716157161543084e-02
2.583811247846745651e-02,2.583811247846742876e-02,-2.220446049250313081e-16,3.654060909317016076e-02
2.389081883736579592e-02,2.389081883736576817e-02,-2.220446049250313081e-16,3.378672001600131064e-02
2.203302109132981856e-02,2.203302109132979081e-02,-2.220446049250313081e-16,3.115939724741106226e-02
2.026060608810317798e-02,2.026060608810315022e-02,-3.330669073875469621e-16,2.865282391169439447e-02
1.856964971227278993e-02,1.856964971227276218e-02,-3.330669073875469621e-16,2.626145047161380225e-02
1.695640819730248605e-02,1.695640819730245830e-02,-4.440892098500626162e-16,2.397998244175948007e-02
6.541730983685806189e-02,6.541730983685803413e-02,2.220446049250313081e-16,9.251404678524753622e-02
6.164582059156853422e-02,6.164582059156850646e-02,1.110223024625156540e-16,8.718035554421481315e-02
5.805283686092785334e-02,5.805283686092782558e-02,1.110223024625156540e-16,8.209910922295687863e-02
5.462498295292225747e-02,5.462498295292222972e-02,1.110223024625156540e-16,7.725139173642175949e-02
5.135467018164291408e-02,5.135467018164291408e-02,3.330669073875469621e-16,7.262647106207659187e-02
4.823465809559807083e-02,4.823465809559807083e-02,2.220446049250313081e-16,6.821410765522399611e-02
4.525803900810393410e-02,4.525803900810393410e-02,1.110223024625156540e-16,6.400453257167115773e-02
4.241822270365291914e-02,4.241822270365291914e-02,1.110223024625156540e-16,5.998842583926829869e-02
3.970892184721880325e-02,3.970892184721880325e-02,1.110223024625156540e-16,5.615689582355012921e-02
3.712413806413766837e-02,3.712413806413766837e-02,1.110223024625156540e-16,5.250145954171474977e-02
3.465814865974464754e-02,3.465814865974464754e-02,1.110223024625156540e-16,4.901402388135378541e-02
3.230549394936510499e-02,3.230549394936510499e-02,1.110223024625156540e-16,4.568686768235408896e-02
3.006096517060763418e-02,3.006096517060763418e-02,1.110223024625156540e-16,4.251262464229856042e-02
2.791959295119778028e-02,2.791959295119778028e-02,1.110223024625156540e-16,3.948426700752016849e-02
2.587663630681980020e-02,2.587663630681980020e-02,1.110223024625156540e-16,3.659509001370059994e-02
2.392757214460772275e-02,2.392757214460772275e-02,1.110223024625156540e-16,3.383869704156492603e-02
2.206808524904707580e-02,2.206808524904707580e-02,1.110223024625156540e-16,3.120898545480801575e-02
2.029405872811534950e-02,2.029405872811534950e-02,1.110223024625156540e-16,2.870013308889680925e-02
1.860156489850961492e-02,1.860156489850961492e-02,1.110223024625156540e-16,2.630658536083560137e-02
1.698685658978094093e-02,1.698685658978094093e-02,1.110223024625156540e-16,2.402304297135499089e-02
6.544635884812316506e-02,6.544635884812316506e-02,1.110223024625156540e-16,9.255512829095219329e-02
6.167353453594431878e-02,6.167353453594431878e-02,1.110223024625156540e-16,8.721954898021792857e-02
5.807927709690891005e-02,5.807927709690891005e-02,1.110223024625156540e-16,8.213650136327366180e-02
5.465020801902087388e-02,5.465020801902087388e-02,1.110223024625156540e-16,7.728706536701020202e-02
5.137873592599317973e-02,5.137873592599317973e-02,1.110223024625156540e-16,7.266050516412533855e-02
4.825761779960313635e-02,4.825761779960313635e-02,1.110223024625156540e-16,6.824657758001603791e-02
4.527994350440073257e-02,4.527994350440073257e-02,1.110223024625156540e-16,6.403551020741105049e-02
4.243912048865527975e-02,4.243912048865527975e-02,1.110223024625156540e-16,6.001797977024218855e-02
3.972885918848828579e-02,3.972885918848828579e-02,1.110223024625156540e-16,5.618509148197108755e-02
