x, y, z, roll, pitch, yaw, time, iteration
1.414213627576828003e-01,0.000000000000000000e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,1.370777962050479803e-01,4.972791671752929688e-02,0.000000000000000000e+00
1.414213627576828003e-01,0.000000000000000000e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,1.370777962050479803e-01,9.979605674743652344e-02,1.000000000000000000e+00
4.166967868804931641e-01,5.734290555119514465e-02,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,3.885517816864122453e-01,1.501030921936035156e-01,2.000000000000000000e+00
4.166967868804931641e-01,5.734290555119514465e-02,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,3.885517816864122453e-01,1.999549865722656250e-01,3.000000000000000000e+00
7.835010290145874023e-01,2.522534430027008057e-01,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,6.478967102540451606e-01,2.498319149017333984e-01,4.000000000000000000e+00
7.835010290145874023e-01,2.522534430027008057e-01,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,6.478967102540451606e-01,2.999389171600341797e-01,5.000000000000000000e+00
9.950485229492187500e-01,4.172311127185821533e-01,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,7.056697246085154029e-01,3.500399589538574219e-01,6.000000000000000000e+00
9.950485229492187500e-01,4.172311127185821533e-01,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,7.056697246085154029e-01,3.997180461883544922e-01,7.000000000000000000e+00
1.095142245292663574e+00,5.025136470794677734e-01,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,7.250086919509191041e-01,4.497659206390380859e-01,8.000000000000000000e+00
1.193567991256713867e+00,5.897158384323120117e-01,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,7.443477015146708897e-01,4.997060298919677734e-01,9.000000000000000000e+00
1.382701516151428223e+00,7.667567729949951172e-01,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,7.734544054220170439e-01,5.498890876770019531e-01,1.000000000000000000e+01
1.382701516151428223e+00,7.667567729949951172e-01,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,7.734544054220170439e-01,5.999689102172851562e-01,1.100000000000000000e+01
1.473067641258239746e+00,8.549896478652954102e-01,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,7.815589102084150586e-01,6.500658988952636719e-01,1.200000000000000000e+01
1.650751471519470215e+00,1.032742023468017578e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,7.964352741417082271e-01,6.999139785766601562e-01,1.300000000000000000e+01
1.650751471519470215e+00,1.032742023468017578e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,7.964352741417082271e-01,7.500319480895996094e-01,1.400000000000000000e+01
1.736427664756774902e+00,1.120330572128295898e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,8.007352153577397269e-01,7.998020648956298828e-01,1.500000000000000000e+01
1.821726441383361816e+00,1.208286762237548828e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,8.050350982937120037e-01,8.498098850250244141e-01,1.600000000000000000e+01
1.905797243118286133e+00,1.295725941658020020e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,8.086279155409881181e-01,8.998479843139648438e-01,1.700000000000000000e+01
1.988707542419433594e+00,1.382580518722534180e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,8.115069621064596728e-01,9.497659206390380859e-01,1.800000000000000000e+01
1.988707542419433594e+00,1.382580518722534180e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,8.115069621064596728e-01,9.999210834503173828e-01,1.900000000000000000e+01
2.151336193084716797e+00,1.554320693016052246e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,8.155903854371661099e-01,1.049925088882446289e+00,2.000000000000000000e+01
2.231985569000244141e+00,1.639993190765380859e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,8.173924804424557156e-01,1.099801063537597656e+00,2.100000000000000000e+01
2.310862302780151367e+00,1.724085807800292969e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,8.185148842272577108e-01,1.150057077407836914e+00,2.200000000000000000e+01
2.388840675354003906e+00,1.807407855987548828e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,8.193342694678702465e-01,1.199936866760253906e+00,2.300000000000000000e+01
2.465963602066040039e+00,1.889951348304748535e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,8.199662958241749067e-01,1.250029087066650391e+00,2.400000000000000000e+01
2.542255640029907227e+00,1.971709132194519043e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,8.204615777390298348e-01,1.299825906753540039e+00,2.500000000000000000e+01
2.617737054824829102e+00,2.052678346633911133e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,8.208516312650103730e-01,1.350015878677368164e+00,2.600000000000000000e+01
2.692424535751342773e+00,2.132858753204345703e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,8.211593026004633256e-01,1.399715900421142578e+00,2.700000000000000000e+01
2.692424535751342773e+00,2.132858753204345703e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,8.211593026004633256e-01,1.449774026870727539e+00,2.800000000000000000e+01
2.839476108551025391e+00,2.290860891342163086e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,8.215936012607438776e-01,1.499710083007812500e+00,2.900000000000000000e+01
2.839476108551025391e+00,2.290860891342163086e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,8.215936012607438776e-01,1.549658060073852539e+00,3.000000000000000000e+01
2.911134004592895508e+00,2.367903470993041992e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,8.217127066109924938e-01,1.600041866302490234e+00,3.100000000000000000e+01
2.982782602310180664e+00,2.444954395294189453e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,8.218318119605236838e-01,1.649798870086669922e+00,3.200000000000000000e+01
3.123904943466186523e+00,2.596768617630004883e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,8.220111900993780640e-01,1.699771881103515625e+00,3.300000000000000000e+01
3.123904943466186523e+00,2.596768617630004883e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,8.220111900993780640e-01,1.750012874603271484e+00,3.400000000000000000e+01
3.261465549468994141e+00,2.744797229766845703e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,8.221112305183345681e-01,1.799715042114257812e+00,3.500000000000000000e+01
3.261465549468994141e+00,2.744797229766845703e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,8.221112305183345681e-01,1.849766016006469727e+00,3.600000000000000000e+01
3.261465549468994141e+00,2.744797229766845703e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,8.221112305183345681e-01,1.899924993515014648e+00,3.700000000000000000e+01
3.396261692047119141e+00,2.889877796173095703e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,8.221782337554865983e-01,1.949748992919921875e+00,3.800000000000000000e+01
3.463655948638916016e+00,2.962421417236328125e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,8.222117010533737114e-01,1.999979019165039062e+00,3.900000000000000000e+01
3.529700040817260742e+00,3.033516407012939453e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,8.222340219180015453e-01,2.050080060958862305e+00,4.000000000000000000e+01
3.595068693161010742e+00,3.103887319564819336e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,8.222506771095919875e-01,2.100017070770263672e+00,4.100000000000000000e+01
3.723828077316284180e+00,3.242506742477416992e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,8.222741103839232846e-01,2.149774074554443359e+00,4.200000000000000000e+01
3.723828077316284180e+00,3.242506742477416992e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,8.222741103839232846e-01,2.199754953384399414e+00,4.300000000000000000e+01
3.723828077316284180e+00,3.242506742477416992e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,8.222741103839232846e-01,2.249764919281005859e+00,4.400000000000000000e+01
